"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","2085","87195","50","378","2357","67.827338"
"2","Dead by Daylight","690","27135","38","63","867","75.391304"
"3","Dota 2","195","6840","34","46","121","37.230769"
