"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","3210","24705","7","21","541","10.112149"
"2","Sea of Thieves","1320","18780","13","46","275","12.5"
"3","Pokémon: Let's Go, Pikachu!","1215","10785","8","16","179","8.839506"
"4","Wizard101","615","5490","7","17","124","12.09756"
"5","Stardew Valley","420","5115","11","17","77","11"
"6","Jackbox Party Packs","375","14280","38","81","215","34.4"
"7","Subnautica","225","2910","12","21","38","10.133333"
"8","Yu-Gi-Oh! Duel Links","150","1485","9","15","50","20"
"9","Apex Legends","150","1905","9","16","13","5.2"
"10","Mario Kart 8","135","1245","9","15","27","12"
"11","SCP: Secret Laboratory","90","1125","12","15","14","9.333333"
"12","Just Chatting","90","750","7","15","22","14.666666"
"13","DayZ","45","675","15","20","16","21.333333"
