"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:56","https://sullygnome.com/channel/tsoding/stream/35112277328","214","17548","82","97","13","3","486","129","Science &amp; Technology"
"2","Tuesday 30th July 2019 15:59","https://sullygnome.com/channel/tsoding/stream/35099095520","301","24381","81","105","31","5","663","126","Science &amp; Technology"
"3","Sunday 28th July 2019 15:57","https://sullygnome.com/channel/tsoding/stream/35074807936","273","24024","88","117","19","4","729","153","Science &amp; Technology"
"4","Saturday 27th July 2019 16:00","https://sullygnome.com/channel/tsoding/stream/35063023088","210","16170","77","87","14","4","396","113","Science &amp; Technology"
"5","Friday 26th July 2019 15:48","https://sullygnome.com/channel/tsoding/stream/35050956896","237","21804","92","126","13","3","463","108","Science &amp; Technology"
"6","Thursday 25th July 2019 16:02","https://sullygnome.com/channel/tsoding/stream/35039024672","253","24035","95","133","19","4","710","167","Science &amp; Technology"
"7","Wednesday 24th July 2019 15:56","https://sullygnome.com/channel/tsoding/stream/35026757168","244","16592","68","79","16","4","429","107","Science &amp; Technology"
"8","Tuesday 23rd July 2019 15:57","https://sullygnome.com/channel/tsoding/stream/35014497664","228","20520","90","120","33","8","651","162","Science &amp; Technology"
"9","Sunday 21st July 2019 15:57","https://sullygnome.com/channel/tsoding/stream/34990281680","213","23004","108","134","21","6","589","168","Science &amp; Technology"
"10","Saturday 20th July 2019 15:50","https://sullygnome.com/channel/tsoding/stream/34976983600","235","22090","94","119","15","3","581","145","Science &amp; Technology"
"11","Friday 19th July 2019 15:56","https://sullygnome.com/channel/tsoding/stream/34964162080","244","18056","74","89","6","1","307","72","Just Chatting,Science &amp; Technology"
"12","Thursday 18th July 2019 15:53","https://sullygnome.com/channel/tsoding/stream/34951684320","187","15521","83","101","13","4","441","135","Science &amp; Technology"
"13","Wednesday 17th July 2019 15:55","https://sullygnome.com/channel/tsoding/stream/34939132320","260","19240","74","89","7","1","669","148","Science &amp; Technology"
"14","Tuesday 16th July 2019 15:48","https://sullygnome.com/channel/tsoding/stream/34926433616","207","18837","91","120","14","3","449","119","Science &amp; Technology"
"15","Sunday 14th July 2019 16:05","https://sullygnome.com/channel/tsoding/stream/34902146672","220","18700","85","108","21","5","553","147","Science &amp; Technology"
"16","Saturday 13th July 2019 15:49","https://sullygnome.com/channel/tsoding/stream/34889542256","236","21476","91","116","15","3","538","134","Science &amp; Technology"
"17","Friday 12th July 2019 16:00","https://sullygnome.com/channel/tsoding/stream/34876880224","195","18135","93","121","12","3","252","72","Science &amp; Technology"
"18","Thursday 11th July 2019 16:15","https://sullygnome.com/channel/tsoding/stream/34864426800","210","15330","73","87","19","5","492","131","Science &amp; Technology"
"19","Wednesday 10th July 2019 15:48","https://sullygnome.com/channel/tsoding/stream/34851864288","222","17316","78","104","25","6","543","135","Science &amp; Technology"
"20","Tuesday 9th July 2019 17:00","https://sullygnome.com/channel/tsoding/stream/34840062848","240","20160","84","93","13","3","541","135","Science &amp; Technology"
"21","Tuesday 9th July 2019 15:55","https://sullygnome.com/channel/tsoding/stream/34839374928","50","3300","66","86","3","3","146","146","Science &amp; Technology"
"22","Sunday 7th July 2019 15:52","https://sullygnome.com/channel/tsoding/stream/34814752896","188","17484","93","120","21","6","595","183","Science &amp; Technology"
"23","Saturday 6th July 2019 16:05","https://sullygnome.com/channel/tsoding/stream/34802346192","175","13825","79","93","6","2","328","109","Science &amp; Technology"
"24","Friday 5th July 2019 16:03","https://sullygnome.com/channel/tsoding/stream/34789625360","222","18426","83","114","7","2","265","75","Just Chatting,Science &amp; Technology"
"25","Thursday 4th July 2019 15:48","https://sullygnome.com/channel/tsoding/stream/34778023952","177","14160","80","93","9","3","344","114","Science &amp; Technology"
"26","Wednesday 3rd July 2019 16:15","https://sullygnome.com/channel/tsoding/stream/34765645856","210","19320","92","107","14","3","494","131","Science &amp; Technology"
"27","Tuesday 2nd July 2019 15:41","https://sullygnome.com/channel/tsoding/stream/34752759744","289","22253","77","96","18","3","606","121","Science &amp; Technology"
