"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","1785","49500","25","62","3166","106.420168"
"2","Stellaris","720","19830","27","46","905","75.416666"
"3","Terraria","600","42735","70","193","5365","536.5"
"4","Nova Drift","555","12030","18","45","1006","108.756756"
"5","Timespinner","270","5790","21","31","624","138.666666"
"6","RimWorld","225","9405","41","64","313","83.466666"
"7","Oxygen Not Included","210","4200","20","31","358","102.285714"
"8","COLLAPSED","150","2985","19","27","159","63.6"
"9","Goat Simulator","45","1230","27","31","25","33.333333"
"10","Tom Clancy's The Division 2","30","690","23","25","123","246"
"11","Apex Legends","30","885","29","31","0","0"
