"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","990","10770","8","19","729","44.181818"
"2","Just Chatting","945","4230","4","10","342","21.714285"
"3","Farm Together","165","720","3","8","66","24"
"4","Alliance of Valiant Arms","105","615","5","9","45","25.714285"
"5","Apex Legends","105","750","7","11","72","41.142857"
"6","PUBG: BATTLEGROUNDS","75","390","5","7","4","3.2"
"7","Minecraft","45","165","4","6","29","38.666666"
"8","Art","30","75","2","3","6","12"
"9","Fortnite","15","15","1","1","0","0"
"10","Dead by Daylight","15","30","2","2","9","36"
