"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","2385","46275","16","77","2565","64.528301"
"2","Just Chatting","1245","20910","18","77","1218","58.698795"
"3","Teamfight Tactics","375","5865","15","41","340","54.4"
"4","Dota 2","285","3390","11","20","197","41.473684"
"5","Nioh","165","1920","11","15","61","22.181818"
"6","Tacoma","150","1365","9","13","71","28.4"
"7","Dynasty Warriors 8: Xtreme Legends","135","945","7","12","48","21.333333"
"8","The Sims 3","120","1755","14","18","58","29"
"9","Samurai Warriors 4: Empires","75","495","6","7","23","18.4"
"10","FINAL FANTASY XIII","60","735","12","15","72","72"
"11","Tom Clancy's Rainbow Six Siege","45","600","13","18","39","52"
"12","Hollow Knight","15","165","11","11","32","128"
"13","Montaro","15","195","13","13","9","36"
