"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Maker 2","795","3780","3","12","81","6.113207"
"2","Marvel Ultimate Alliance 3: The Black Order","765","3405","3","14","96","7.529411"
"3","Retro","525","2115","3","10","61","6.971428"
"4","Yakuza Kiwami","270","750","2","5","22","4.888888"
"5","My Hero One's Justice","240","2175","9","15","41","10.25"
"6",".hack//G.U. Vol. 1: Rebirth","195","555","2","5","18","5.538461"
"7","Ace Combat 7: Skies Unknown","90","450","4","6","10","6.666666"
"8","HITMAN 2","60","60","1","1","4","4"
"9","Metal Gear Solid V: The Phantom Pain","45","210","4","5","10","13.333333"
"10","Metal Gear Solid V: Ground Zeroes","30","75","2","3","10","20"
