"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Oxygen Not Included","1080","17445","15","29","454","25.222222"
"2","RimWorld","930","13665","14","27","217","14"
"3","Raft","900","12555","13","20","236","15.733333"
"4","They Are Billions","525","5745","10","16","106","12.114285"
"5","Just Chatting","195","1710","8","12","38","11.692307"
"6","ARK: Survival Evolved","30","165","5","6","22","44"
