"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Art","2625","34050","12","25","699","15.977142"
"2","DayZ","1230","15675","11","17","191","9.317073"
"3","Dauntless","975","12720","11","29","242","14.892307"
"4","MORDHAU","780","11715","14","21","193","14.846153"
"5","RuneScape","450","7935","17","22","147","19.6"
"6","Pokémon: Let's Go, Pikachu!","330","4095","12","18","41","7.454545"
"7","Call of Duty: Modern Warfare Remastered","315","3195","9","19","73","13.904761"
"8","Just Chatting","240","1875","6","14","106","26.5"
"9","The Jackbox Party Pack 5","195","2865","14","22","74","22.76923"
"10","Super Smash Bros. Ultimate","165","2295","13","18","19","6.90909"
"11","Gang Beasts","165","1785","12","16","22","8"
"12","osu!","90","1080","12","15","11","7.333333"
