"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dragon Ball FighterZ","3855","275910","64","191","4534","70.568093"
"2","Lethal League Blaze","210","5355","26","77","164","46.857142"
"3","Dead by Daylight","150","2385","15","21","99","39.6"
