"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Friday the 13th: The Game","4995","1171425","229","380","27128","325.861861"
"2","Rust","3600","603945","168","1004","21066","351.1"
"3","Dead by Daylight","2295","533190","220","396","15940","416.732026"
"4","Just Chatting","1140","91965","73","178","4963","261.210526"
"5","Corporation","720","56700","85","108","1726","143.833333"
"6","Games + Demos","600","101700","163","313","2608","260.8"
"7","Forgotton Anne","480","37650","78","118","1913","239.125"
"8","What Remains of Edith Finch","165","21090","127","156","532","193.454545"
"9","Minecraft","105","8775","83","103","392","224"
"10","60 Seconds!","105","21375","203","237","416","237.714285"
