"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dota 2","4080","21855","4","11","287","4.220588"
"2","F1 2019","1335","8535","5","15","199","8.94382"
"3","Crusader Kings II","810","4815","5","12","122","9.037037"
"4","Insurgency: Sandstorm","585","3975","5","14","71","7.282051"
"5","Rising Storm 2: Vietnam","405","2490","5","11","56","8.296296"
"6","Guild Wars 2","285","1185","3","6","44","9.263157"
"7","Prison Architect","255","1080","4","6","12","2.823529"
"8","Hearts of Iron IV","255","780","2","6","15","3.529411"
"9","Grim Dawn","150","510","3","5","14","5.6"
"10","Apex Legends","120","780","6","9","7","3.5"
"11","Just Chatting","90","375","3","6","15","10"
"12","Superflight","30","165","5","6","4","8"
"13","Rocket League","30","225","7","8","2","4"
"14","GRID: Autosport","30","165","5","7","2","4"
"15","Quake III Arena","15","30","2","2","5","20"
"16","PUBG: BATTLEGROUNDS","15","135","9","9","9","36"
