"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Madden NFL 20","2505","644010","319","988","9844","235.784431"
"2","MLB The Show 19","1830","183120","97","229","3262","106.950819"
"3","Apex Legends","675","62145","91","815","3141","279.2"
"4","Marvel Ultimate Alliance 3: The Black Order","300","15690","56","69","375","75"
"5","Just Chatting","300","25380","78","211","700","140"
"6","Visage","225","9255","41","82","297","79.2"
"7","NHL 20","210","26265","125","158","457","130.571428"
"8","Dead by Daylight","180","7530","41","67","171","57"
"9","Tom Clancy's The Division 2","105","5490","51","66","136","77.714285"
"10","Gears of War 4","60","2355","38","43","73","73"
"11","Unlisted on Twitch","15","1185","79","79","64","256"
