"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dungeons & Dragons","510","7965","15","19","76","8.941176"
"2","Mario Kart 8","240","4080","17","26","94","23.5"
"3","Danganronpa V3: Killing Harmony","180","3135","17","20","37","12.333333"
"4","UNO","180","3315","18","22","50","16.666666"
"5","Super Smash Bros. Ultimate","135","2370","17","24","56","24.888888"
"6","Twitch Sings","120","1095","9","13","20","10"
"7","Jackbox Party Packs","120","2775","23","28","77","38.5"
"8","100% Orange Juice","75","945","12","20","17","13.6"
