"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 01:15","https://sullygnome.com/channel/dragonslayer0531/stream/35092700992","45","360","8","12","0","0","32","32","Science &amp; Technology"
"2","Sunday 28th July 2019 17:54","https://sullygnome.com/channel/dragonslayer0531/stream/35075990480","111","777","7","9","0","0","47","26","Science &amp; Technology"
"3","Saturday 27th July 2019 19:00","https://sullygnome.com/channel/dragonslayer0531/stream/35064830464","255","1785","7","13","2","0","82","18","Science &amp; Technology"
"4","Friday 26th July 2019 22:02","https://sullygnome.com/channel/dragonslayer0531/stream/35054897536","58","348","6","8","0","0","9","9","Science &amp; Technology"
"5","Friday 26th July 2019 05:15","https://sullygnome.com/channel/dragonslayer0531/stream/35047045392","105","315","3","5","0","0","5","2","Science &amp; Technology"
"6","Sunday 21st July 2019 16:34","https://sullygnome.com/channel/dragonslayer0531/stream/34990588720","266","1596","6","11","0","0","104","21","Hellblade: Senua's Sacrifice,Science &amp; Technology"
"7","Sunday 21st July 2019 00:15","https://sullygnome.com/channel/dragonslayer0531/stream/34983448304","180","1080","6","9","1","0","69","21","Science &amp; Technology"
"8","Friday 12th July 2019 19:16","https://sullygnome.com/channel/dragonslayer0531/stream/34879188032","59","354","6","11","0","0","26","20","Science &amp; Technology"
"9","Monday 8th July 2019 22:19","https://sullygnome.com/channel/dragonslayer0531/stream/34831302080","116","928","8","11","0","0","48","24","Science &amp; Technology"
"10","Tuesday 2nd July 2019 22:16","https://sullygnome.com/channel/dragonslayer0531/stream/34757380560","119","833","7","12","0","0","51","22","Science &amp; Technology"
