"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:56","https://sullygnome.com/channel/artificialnext/stream/35113578256","64","491904","7686","8685","43","43","176002","176002","Talk Shows &amp; Podcasts"
"2","Thursday 25th July 2019 00:51","https://sullygnome.com/channel/artificialnext/stream/35032615744","84","462504","5506","8254","219","146","211524","141016","Talk Shows &amp; Podcasts"
"3","Wednesday 24th July 2019 18:50","https://sullygnome.com/channel/artificialnext/stream/35028634272","85","466650","5490","8543","250","166","201654","134436","Talk Shows &amp; Podcasts"
"4","Wednesday 17th July 2019 23:50","https://sullygnome.com/channel/artificialnext/stream/34944525712","70","459690","6567","8874","193","154","157376","125900","Talk Shows &amp; Podcasts"
"5","Wednesday 17th July 2019 17:54","https://sullygnome.com/channel/artificialnext/stream/34940418208","66","507870","7695","8519","63","63","186976","186976","Talk Shows &amp; Podcasts"
"6","Thursday 11th July 2019 00:00","https://sullygnome.com/channel/artificialnext/stream/34857286512","90","476100","5290","9019","242","138","231432","132246","Talk Shows &amp; Podcasts"
"7","Wednesday 10th July 2019 17:57","https://sullygnome.com/channel/artificialnext/stream/34853248464","78","451698","5791","9037","176","117","222685","148456","Talk Shows &amp; Podcasts"
"8","Thursday 4th July 2019 16:30","https://sullygnome.com/channel/artificialnext/stream/34778429024","0","0","133","134","0","0","55","220","Talk Shows &amp; Podcasts"
"9","Wednesday 3rd July 2019 17:43","https://sullygnome.com/channel/artificialnext/stream/34766762464","1337","1633814","1222","9217","360","16","429963","19109","Talk Shows &amp; Podcasts"
