"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG: BATTLEGROUNDS","3210","9885","2","53","373","6.971962"
"2","Project CARS 2","1335","7305","4","55","214","9.617977"
"3","RimWorld","735","2550","3","10","65","5.306122"
"4","Apex Legends","720","1935","2","7","61","5.083333"
"5","Wolfenstein: Youngblood","375","1215","2","7","12","1.92"
"6","Rocket League","195","780","3","7","15","4.615384"
"7","Bomber Crew","135","585","3","7","3","1.333333"
"8","MudRunner","120","585","4","8","6","3"
"9","Just Chatting","105","555","4","9","27","15.428571"
"10","Astroneer","90","270","3","3","3","2"
"11","Grand Theft Auto V","75","345","4","6","1","0.8"
"12","The Talos Principle","75","150","2","3","4","3.2"
"13","Risk of Rain 2","75","150","2","2","0","0"
"14","Counter-Strike","60","60","1","1","1","1"
"15","Oxygen Not Included","45","180","4","4","2","2.666666"
