"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FIFA 19","300","1965","6","11","49","9.8"
"2","Days Gone","255","1260","4","9","43","10.117647"
"3","Dauntless","165","1680","10","13","73","26.545454"
"4","Clash Royale","75","225","2","5","7","5.6"
"5","Crash Team Racing Nitro-Fueled","45","315","7","10","16","21.333333"
