"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Pokémon Yellow","795","10455","12","21","360","27.169811"
"2","Dragon Quest Builders 2","720","7710","10","17","249","20.75"
"3","Just Chatting","300","3885","10","28","503","100.6"
"4","Dragon Quest Builders","255","3315","12","23","144","33.882352"
"5","Pokémon Crystal","120","1965","16","20","76","38"
"6","Sword Art Online: Hollow Realization","90","1380","15","19","42","28"
"7","RiME","90","1215","13","18","81","54"
"8","Pokémon Trading Card Game Online","60","1020","18","21","26","26"
"9","This War of Mine","45","480","10","11","6","8"
"10","The Legend of Zelda: Breath of the Wild","45","600","13","17","19","25.333333"
"11","Hollow Knight","15","300","20","20","17","68"
