"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","osu!","1215","8520","6","87","273","13.481481"
"2","MORDHAU","525","2490","4","11","99","11.314285"
"3","Rocket League","420","1335","3","6","37","5.285714"
"4","Summoners War: Sky Arena","345","3390","9","21","105","18.260869"
"5","Counter-Strike: Global Offensive","330","1110","3","5","19","3.454545"
"6","Minion Masters","270","2265","8","12","52","11.555555"
"7","PUBG: BATTLEGROUNDS","255","1605","5","12","33","7.764705"
"8","Iratus: Lord of the Dead","240","2475","10","26","89","22.25"
"9","Overwatch","210","1050","5","8","52","14.857142"
"10","Teamfight Tactics","165","780","5","7","34","12.363636"
"11","They Are Billions","120","420","3","5","13","6.5"
"12","Black Desert","75","495","6","8","24","19.2"
"13","Battalion 1944","45","345","7","8","12","16"
"14","Brawlhalla","30","150","5","5","3","6"
"15","Just Chatting","15","45","3","3","1","4"
