"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","7935","127935","13","49","4290","32.438563"
"2","Teamfight Tactics","870","7545","8","24","308","21.241379"
"3","Outlast II","435","3840","8","14","150","20.689655"
"4","Friday the 13th: The Game","180","1395","6","12","106","35.333333"
"5","Gartic","105","1170","9","16","46","26.285714"
"6","Just Chatting","90","810","8","18","11","7.333333"
"7","Unlisted on Twitch","30","300","10","11","25","50"
"8","League of Legends","30","195","6","7","8","16"
"9","Minecraft","30","180","6","6","7","14"
"10","Outlast 2","15","105","7","7","23","92"
