"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","555","290415","492","781","3295","356.216216"
"2","Psychonauts","345","132870","355","454","1140","198.260869"
"3","Super Mario Maker 2","315","122700","393","463","1727","328.95238"
"4","Animal Crossing: New Leaf","270","118125","437","506","1358","301.777777"
"5","Among the Sleep","240","100590","419","493","1137","284.25"
"6","SpongeBob SquarePants: Battle For Bikini Bottom","210","71700","341","378","1017","290.571428"
"7","Life is Strange","135","100095","741","815","1074","477.333333"
"8","The Sims 4","120","49545","412","435","635","317.5"
"9","Toy Story 3: The Video Game","120","60960","508","571","918","459"
"10","Art","90","31350","348","374","559","372.666666"
"11","Unlisted on Twitch","75","25140","322","446","708","566.4"
"12","Sonic the Fighters","60","25155","419","429","402","402"
"13","Jackbox Party Packs","60","40830","680","688","581","581"
"14","Sonic Unleashed","60","23655","394","408","564","564"
"15","Cooking Simulator","45","20025","445","460","116","154.666666"
"16","Viva Piñata: Trouble in Paradise","30","8925","297","340","113","226"
"17","Sonic the Hedgehog","15","5040","336","336","115","460"
"18","Sonic the Hedgehog 4: Episode I","15","6495","433","433","139","556"
