"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","255","2145","9","21","232","54.588235"
"2","Counter-Strike: Global Offensive","135","960","7","14","97","43.111111"
"3","Teamfight Tactics","30","135","4","7","9","18"
