"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tekken 7","600","92745","169","875","2522","252.2"
"2","Street Fighter V","495","588105","1067","2964","10914","1322.90909"
"3","SAMURAI SHODOWN","360","133185","205","1155","5022","837"
"4","Pokkén Tournament","165","36570","221","316","2577","937.090909"
"5","Mortal Kombat 11","150","95970","639","803","2508","1003.2"
"6","Dead or Alive 6","105","25140","239","311","4762","2721.142857"
"7","Ultra Street Fighter IV","90","1440","14","27","79","52.666666"
"8","Dragon Ball FighterZ","75","9705","129","173","696","556.8"
"9","Sailor Moon S","45","615","13","16","18","24"
"10","Unlisted on Twitch","15","90","6","6","0","0"
