"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","930","5535","5","11","135","8.709677"
"2","Friday the 13th: The Game","840","5040","5","9","162","11.571428"
"3","Dead Space 3","735","3060","4","8","73","5.959183"
"4","Detroit: Become Human","630","4635","7","12","97","9.238095"
"5","A Plague Tale: Innocence","600","3045","4","11","82","8.2"
"6","Dead Space 2","570","2925","4","7","81","8.526315"
"7","Hollow Knight","540","2340","3","8","49","5.444444"
"8","Resident Evil 2","495","2700","5","9","56","6.787878"
"9","Battlefield V","480","2730","5","11","107","13.375"
"10","Dead Space (2008)","360","3135","8","13","55","9.166666"
"11","Call of Duty: Black Ops 4","285","1440","4","10","64","13.473684"
"12","Shadow of the Tomb Raider","255","1410","5","11","22","5.17647"
"13","Tom Clancy's The Division 2","150","780","4","8","44","17.6"
"14","Immortal: Unchained","150","870","5","7","17","6.8"
"15","Tom Clancy's Rainbow Six Siege","150","510","3","5","18","7.2"
"16","Sea of Thieves","75","135","1","2","6","4.8"
"17","Tomb Raider","75","285","3","5","9","7.2"
"18","Quantum Break","60","210","3","4","14","14"
"19","Gears of War 4","60","60","1","1","11","11"
"20","Assassin's Creed Odyssey","60","180","3","6","9","9"
"21","Wolfenstein II: The New Colossus","45","120","2","3","9","12"
"22","Monster Hunter: World","45","120","2","3","6","8"
