"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 17:35","https://sullygnome.com/channel/mabusgames/stream/35087500224","115","1265","11","14","1","0","58","29","Science &amp; Technology"
"2","Friday 26th July 2019 18:32","https://sullygnome.com/channel/mabusgames/stream/35052605728","103","1339","13","20","0","0","56","28","Science &amp; Technology"
"3","Friday 26th July 2019 02:30","https://sullygnome.com/channel/mabusgames/stream/35045721040","120","960","8","13","0","0","42","18","Science &amp; Technology"
"4","Thursday 25th July 2019 18:32","https://sullygnome.com/channel/mabusgames/stream/35040599056","223","2230","10","15","2","0","115","30","Science &amp; Technology"
"5","Wednesday 24th July 2019 17:15","https://sullygnome.com/channel/mabusgames/stream/35027542624","255","2805","11","15","1","0","94","20","Science &amp; Technology"
"6","Monday 22nd July 2019 16:07","https://sullygnome.com/channel/mabusgames/stream/35002168992","233","3728","16","26","4","1","137","34","Science &amp; Technology"
"7","Friday 19th July 2019 19:00","https://sullygnome.com/channel/mabusgames/stream/34965822096","150","1050","7","10","3","1","52","18","Science &amp; Technology"
"8","Thursday 18th July 2019 20:29","https://sullygnome.com/channel/mabusgames/stream/34954822192","121","1331","11","15","0","0","53","23","Science &amp; Technology"
"9","Thursday 18th July 2019 01:30","https://sullygnome.com/channel/mabusgames/stream/34945558384","165","1815","11","15","1","0","72","24","Science &amp; Technology"
"10","Monday 15th July 2019 15:23","https://sullygnome.com/channel/mabusgames/stream/34913673296","202","2222","11","17","3","0","120","32","Science &amp; Technology"
"11","Saturday 13th July 2019 18:45","https://sullygnome.com/channel/mabusgames/stream/34891332496","150","1200","8","13","-1","0","61","22","Science &amp; Technology"
"12","Thursday 11th July 2019 18:31","https://sullygnome.com/channel/mabusgames/stream/34866151312","224","2688","12","20","2","0","71","18","Science &amp; Technology"
"13","Wednesday 10th July 2019 18:51","https://sullygnome.com/channel/mabusgames/stream/34853915840","249","5976","24","61","6","1","188","44","Science &amp; Technology"
"14","Monday 8th July 2019 21:18","https://sullygnome.com/channel/mabusgames/stream/34830655520","162","1296","8","12","2","0","61","20","Science &amp; Technology"
"15","Sunday 7th July 2019 17:11","https://sullygnome.com/channel/mabusgames/stream/34815566848","124","1240","10","14","0","0","60","26","Science &amp; Technology"
"16","Friday 5th July 2019 18:26","https://sullygnome.com/channel/mabusgames/stream/34791133712","199","2587","13","20","3","0","79","22","Science &amp; Technology"
"17","Thursday 4th July 2019 18:30","https://sullygnome.com/channel/mabusgames/stream/34779781120","210","1680","8","12","0","0","53","14","Science &amp; Technology"
"18","Wednesday 3rd July 2019 18:44","https://sullygnome.com/channel/mabusgames/stream/34767512112","121","968","8","12","1","0","36","18","Science &amp; Technology"
"19","Monday 1st July 2019 18:45","https://sullygnome.com/channel/mabusgames/stream/34742443824","165","1815","11","17","0","0","52","17","Science &amp; Technology"
