"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rocket League","495","7080","14","25","138","16.727272"
"2","Dead by Daylight","390","6495","16","25","71","10.923076"
"3","TrackMania 2: Stadium","345","5025","13","24","129","22.434782"
"4","Marbles on Stream","330","6030","17","35","90","16.363636"
"5","Apex Legends","300","3060","10","18","44","8.8"
"6","World of Warships","180","3000","15","25","72","24"
"7","Risk of Rain 2","105","1185","11","16","32","18.285714"
"8","Ironsight","60","360","6","10","19","19"
"9","Dota Underlords","30","450","15","16","3","6"
"10","Just Chatting","15","120","8","8","14","56"
