"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","1875","12570","6","14","372","11.904"
"2","Rocket League","1530","10245","6","15","429","16.823529"
"3","Limbo","210","1350","6","10","46","13.142857"
"4","Counter-Strike: Global Offensive","180","1350","6","12","137","45.666666"
"5","Pinturillo 2","150","1230","7","11","29","11.6"
"6","Batman: Arkham Origins","90","450","5","7","9","6"
"7","Art","60","150","2","4","8","8"
"8","Dead by Daylight","45","285","6","9","5","6.666666"
"9","Deceit","30","150","5","6","7","14"
"10","Just Chatting","15","30","2","2","14","56"
"11","Travel & Outdoors","15","105","7","7","0","0"
