"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 03:31","https://sullygnome.com/channel/oddkast/stream/35081783216","149","5513","37","45","19","7","98","39","Talk Shows &amp; Podcasts"
"2","Monday 29th July 2019 02:12","https://sullygnome.com/channel/oddkast/stream/35081105440","48","1680","35","43","4","4","64","64","Talk Shows &amp; Podcasts"
"3","Sunday 28th July 2019 07:15","https://sullygnome.com/channel/oddkast/stream/35071172720","30","810","27","31","1","1","37","49","Travel &amp; Outdoors"
"4","Sunday 28th July 2019 03:15","https://sullygnome.com/channel/oddkast/stream/35069671136","180","8820","49","56","26","8","138","46","Talk Shows &amp; Podcasts"
"5","Saturday 27th July 2019 03:00","https://sullygnome.com/channel/oddkast/stream/35057802400","210","7770","37","45","7","2","100","28","Talk Shows &amp; Podcasts"
"6","Friday 26th July 2019 02:00","https://sullygnome.com/channel/oddkast/stream/35045422608","210","6300","30","38","7","2","73","20","Talk Shows &amp; Podcasts"
"7","Sunday 21st July 2019 05:43","https://sullygnome.com/channel/oddkast/stream/34986212720","137","5069","37","46","8","3","163","65","Talk Shows &amp; Podcasts"
"8","Sunday 21st July 2019 03:00","https://sullygnome.com/channel/oddkast/stream/34984962720","120","4680","39","48","4","2","119","59","Talk Shows &amp; Podcasts"
"9","Saturday 20th July 2019 03:00","https://sullygnome.com/channel/oddkast/stream/34971403408","180","8280","46","56","5","1","150","50","Talk Shows &amp; Podcasts"
"10","Friday 19th July 2019 02:41","https://sullygnome.com/channel/oddkast/stream/34958794000","184","6624","36","42","18","5","108","33","Talk Shows &amp; Podcasts"
"11","Sunday 14th July 2019 22:20","https://sullygnome.com/channel/oddkast/stream/34906387424","175","4725","27","36","7","2","99","33","Talk Shows &amp; Podcasts"
"12","Sunday 14th July 2019 03:01","https://sullygnome.com/channel/oddkast/stream/34896586096","239","10994","46","57","29","7","219","54","Talk Shows &amp; Podcasts"
"13","Saturday 13th July 2019 02:33","https://sullygnome.com/channel/oddkast/stream/34883858032","162","6156","38","50","18","6","93","33","Talk Shows &amp; Podcasts"
"14","Friday 12th July 2019 02:01","https://sullygnome.com/channel/oddkast/stream/34871141472","254","7874","31","40","15","3","117","27","Talk Shows &amp; Podcasts"
"15","Sunday 7th July 2019 03:00","https://sullygnome.com/channel/oddkast/stream/34809266576","360","13680","38","48","24","4","253","42","Talk Shows &amp; Podcasts"
"16","Saturday 6th July 2019 03:00","https://sullygnome.com/channel/oddkast/stream/34796692800","255","6885","27","38","7","1","108","24","Talk Shows &amp; Podcasts"
"17","Friday 5th July 2019 03:00","https://sullygnome.com/channel/oddkast/stream/34784536368","225","5625","25","32","4","1","80","21","Talk Shows &amp; Podcasts"
