"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:00","https://sullygnome.com/channel/unrealemir/stream/35111670528","210","210","1","3","0","0","30","8","Science &amp; Technology"
"2","Tuesday 30th July 2019 21:45","https://sullygnome.com/channel/unrealemir/stream/35103073504","210","210","1","4","3","0","25","6","Science &amp; Technology"
"3","Tuesday 30th July 2019 09:30","https://sullygnome.com/channel/unrealemir/stream/35096194976","300","300","1","7","1","0","44","8","Science &amp; Technology"
"4","Sunday 28th July 2019 21:30","https://sullygnome.com/channel/unrealemir/stream/35078088992","15","15","1","1","0","0","2","4","Science &amp; Technology"
"5","Sunday 28th July 2019 12:20","https://sullygnome.com/channel/unrealemir/stream/35073057744","130","650","5","14","1","0","50","22","Science &amp; Technology"
"6","Saturday 27th July 2019 16:30","https://sullygnome.com/channel/unrealemir/stream/35063253648","180","360","2","5","2","0","15","4","Science &amp; Technology"
"7","Friday 26th July 2019 15:30","https://sullygnome.com/channel/unrealemir/stream/35050687408","150","150","1","3","2","0","15","5","Science &amp; Technology"
"8","Thursday 25th July 2019 19:30","https://sullygnome.com/channel/unrealemir/stream/35041202288","225","225","1","4","1","0","22","5","Science &amp; Technology,Unlisted on Twitch"
"9","Friday 19th July 2019 20:45","https://sullygnome.com/channel/unrealemir/stream/34967392368","195","390","2","6","2","0","26","7","Science &amp; Technology"
"10","Thursday 18th July 2019 22:30","https://sullygnome.com/channel/unrealemir/stream/34955957920","60","60","1","3","2","1","11","8","Science &amp; Technology"
"11","Thursday 18th July 2019 14:00","https://sullygnome.com/channel/unrealemir/stream/34950589664","240","240","1","3","0","0","25","5","Science &amp; Technology"
"12","Wednesday 17th July 2019 18:00","https://sullygnome.com/channel/unrealemir/stream/34940364016","330","330","1","2","4","0","32","5","Science &amp; Technology"
"13","Saturday 13th July 2019 19:00","https://sullygnome.com/channel/unrealemir/stream/34891529920","75","75","1","3","0","0","6","4","Science &amp; Technology"
"14","Friday 12th July 2019 20:49","https://sullygnome.com/channel/unrealemir/stream/34880278688","116","232","2","4","1","0","9","4","Science &amp; Technology"
