"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Gakkou de Atta Kowai Hanashi S","285","221925","799","939","3348","704.842105"
"2","Detroit: Become Human","180","129960","745","906","2125","708.333333"
"3","Baba is You","165","133050","803","909","2002","728"
"4","Tokimeki Memorial: Forever With You","150","99525","663","844","2610","1044"
"5","Abzu","120","94050","783","901","1213","606.5"
"6","Shiin","105","93525","890","931","655","374.285714"
"7","Ōkami","90","52860","587","703","866","577.333333"
"8","Dream Club","90","62280","692","834","1341","894"
"9","Hidden Folks","75","61665","816","867","448","358.4"
"10","Duck Season","75","53310","710","903","1233","986.4"
"11","Judgment","60","43320","722","867","1360","1360"
"12","Hungry Shark World","60","48360","806","878","121","121"
"13","TorqueL","45","30405","675","700","297","396"
"14","Hatsune Miku: Project Diva Future Tone","30","22635","754","781","346","692"
"15","Muse Dash","15","13140","876","876","480","1920"
"16","Retro","15","12555","837","837","158","632"
