"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","1050","5670","4","8","182","10.4"
"2","Minecraft","270","1455","5","10","51","11.333333"
"3","Marbles on Stream","195","1275","5","12","27","8.307692"
"4","Unlisted on Twitch","165","600","2","7","12","4.363636"
"5","Music","165","345","1","3","1","0.363636"
"6","Grand Theft Auto III","165","435","2","6","5","1.818181"
"7","The Binding of Isaac: Rebirth","120","675","5","7","10","5"
"8","Just Chatting","105","285","2","5","6","3.428571"
"9","Tom Clancy's Rainbow Six Siege","90","285","3","6","4","2.666666"
"10","Gears 5","45","105","2","3","1","1.333333"
"11","Lost Castle","30","135","4","6","18","36"
