"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","690","9375","13","24","300","26.086956"
"2","Games + Demos","525","8280","15","26","269","30.742857"
"3","The Walking Dead: A New Frontier","405","7950","20","148","427","63.259259"
"4","Destiny 2","150","3255","21","33","240","96"
"5","Just Chatting","150","2160","11","62","502","200.8"
"6","Sherlock Holmes: The Devil's Daughter","135","1815","13","18","75","33.333333"
"7","The Sims 4","120","1740","14","19","47","23.5"
"8","Assassin's Creed Odyssey","120","1680","14","17","51","25.5"
"9","Copoka","90","1065","11","13","45","30"
"10","Just Dance 2019","75","1425","19","20","84","67.2"
"11","Marbles on Stream","45","1035","23","26","50","66.666666"
