"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 05:00","https://sullygnome.com/channel/museun/stream/35107839552","285","1140","4","10","2","0","32","6","Science &amp; Technology"
"2","Tuesday 30th July 2019 06:41","https://sullygnome.com/channel/museun/stream/35095410608","439","2195","5","12","1","0","42","5","Science &amp; Technology"
"3","Tuesday 30th July 2019 00:15","https://sullygnome.com/channel/museun/stream/35091956400","255","255","1","3","1","0","27","6","Science &amp; Technology"
"4","Monday 29th July 2019 22:45","https://sullygnome.com/channel/museun/stream/35091116464","45","45","1","3","0","0","6","6","Science &amp; Technology"
"5","Sunday 28th July 2019 18:22","https://sullygnome.com/channel/museun/stream/35076303072","338","1690","5","10","0","0","45","8","Science &amp; Technology"
"6","Saturday 27th July 2019 20:13","https://sullygnome.com/channel/museun/stream/35065621840","467","2802","6","11","0","0","60","8","Science &amp; Technology"
"7","Saturday 27th July 2019 06:08","https://sullygnome.com/channel/museun/stream/35059254000","367","2569","7","14","4","0","82","13","Science &amp; Technology"
"8","Friday 26th July 2019 21:22","https://sullygnome.com/channel/museun/stream/35054494688","383","1915","5","9","0","0","40","6","Science &amp; Technology"
"9","Thursday 25th July 2019 21:13","https://sullygnome.com/channel/museun/stream/35042425744","377","1508","4","8","1","0","36","5","Science &amp; Technology"
"10","Wednesday 24th July 2019 18:37","https://sullygnome.com/channel/museun/stream/35028480800","638","2552","4","11","2","0","68","6","Science &amp; Technology"
"11","Tuesday 23rd July 2019 16:45","https://sullygnome.com/channel/museun/stream/35014966208","540","1080","2","7","1","0","44","4","Science &amp; Technology"
"12","Monday 22nd July 2019 18:15","https://sullygnome.com/channel/museun/stream/35003588512","60","60","1","3","0","0","3","2","Science &amp; Technology"
"13","Sunday 21st July 2019 10:06","https://sullygnome.com/channel/museun/stream/34987639120","909","6363","7","13","5","0","163","10","Science &amp; Technology"
"14","Saturday 20th July 2019 17:19","https://sullygnome.com/channel/museun/stream/34978093616","416","2080","5","10","2","0","34","4","Science &amp; Technology"
"15","Saturday 20th July 2019 11:12","https://sullygnome.com/channel/museun/stream/34974652432","303","1515","5","9","2","0","43","8","Science &amp; Technology"
"16","Friday 19th July 2019 14:45","https://sullygnome.com/channel/museun/stream/34963492128","75","150","2","5","0","0","2","1","Science &amp; Technology"
"17","Thursday 18th July 2019 12:26","https://sullygnome.com/channel/museun/stream/34950012672","694","4164","6","12","3","0","82","6","Science &amp; Technology"
"18","Wednesday 17th July 2019 00:30","https://sullygnome.com/channel/museun/stream/34932370064","330","330","1","4","1","0","18","3","Science &amp; Technology"
"19","Saturday 13th July 2019 09:10","https://sullygnome.com/channel/museun/stream/34886627936","440","3080","7","12","1","0","91","12","Science &amp; Technology"
"20","Monday 8th July 2019 19:36","https://sullygnome.com/channel/museun/stream/34829476096","129","774","6","12","0","0","18","7","Science &amp; Technology"
