"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Bloodborne","1560","42690","26","39","819","31.5"
"2","Visage","780","21450","26","43","486","37.384615"
"3","BioShock","675","11550","16","26","256","22.755555"
"4","A Way Out","465","14610","31","46","380","49.032258"
"5","Dead Space (2008)","135","2205","16","23","131","58.222222"
"6","Dead by Daylight","120","2130","17","22","64","32"
"7","Seasons after Fall","90","2265","25","36","61","40.666666"
"8","Jack In the Box","90","1455","16","20","24","16"
"9","To the Moon","90","1830","20","28","42","28"
"10","Bendy and the Ink Machine","75","1620","21","23","56","44.8"
"11","Marbles on Stream","60","1335","22","23","21","21"
