"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Dance 2019","2175","133620","60","102","4358","120.220689"
"2","Marbles on Stream","1080","68835","63","99","1975","109.722222"
"3","The Legend of Zelda: Breath of the Wild","900","33870","37","64","896","59.733333"
"4","Beat Saber","525","21540","43","62","692","79.085714"
"5","Just Chatting","210","5700","27","60","687","196.285714"
"6","Makers & Crafting","60","1785","29","40","79","79"
