"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Sea of Thieves","1590","8100","4","22","147","5.547169"
"2","God of War","795","4575","5","13","94","7.094339"
"3","Apex Legends","780","4950","6","14","74","5.692307"
"4","Dauntless","660","8790","10","32","128","11.636363"
"5","Overwatch","630","6180","6","20","82","7.809523"
"6","Path of Exile","585","1830","2","5","43","4.410256"
"7","Star Wars Battlefront II","570","3525","5","11","68","7.157894"
"8","Gears 5","525","2580","4","7","53","6.057142"
"9","Guitar Hero III: Legends of Rock","210","2415","11","18","47","13.428571"
"10","Unlisted on Twitch","195","1830","11","22","33","10.153846"
"11","Hunt: Showdown","30","150","5","5","6","12"
