"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Maker 2","855","5055","5","14","118","8.280701"
"2","Art","390","2070","4","10","64","9.846153"
"3","Mario Party 2","375","3015","6","14","54","8.64"
"4","Splatoon 2","375","1290","3","8","43","6.88"
"5","Super Smash Bros. Ultimate","375","2670","6","15","78","12.48"
"6","Bloodstained: Ritual of the Night","240","1050","4","7","19","4.75"
"7","Just Chatting","195","1620","6","14","46","14.153846"
"8","Paper Mario: The Thousand-Year Door","180","1605","7","14","44","14.666666"
"9","Mario Party 8","165","2070","11","30","68","24.727272"
"10","Retro","120","465","3","5","15","7.5"
