"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","6105","62550","9","25","2839","27.901719"
"2","League of Legends","2430","23985","8","19","1389","34.296296"
"3","Apex Legends","2055","16845","8","18","554","16.175182"
"4","Teamfight Tactics","1695","14055","7","17","708","25.061946"
"5","Just Chatting","1335","10035","7","15","907","40.764044"
"6","Ys ORIGIN","405","2265","4","10","84","12.444444"
"7","PUBG: BATTLEGROUNDS","315","4320","13","19","186","35.428571"
"8","House Flipper","225","975","5","9","42","11.2"
"9","Realm Royale Reforged","180","1410","6","13","49","16.333333"
"10","Equilinox","165","825","4","7","35","12.727272"
"11","Witch It","135","900","6","11","22","9.777777"
"12","Sea of Solitude","60","270","4","5","22","22"
"13","Blades of Time","30","120","4","4","5","10"
