"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 05:42","https://sullygnome.com/channel/ditzu2174/stream/35108151360","408","4896","12","19","2","0","153","21","Heroes &amp; Generals"
"2","Tuesday 30th July 2019 05:38","https://sullygnome.com/channel/ditzu2174/stream/35095061136","427","6832","16","23","6","0","182","25","Heroes &amp; Generals"
"3","Monday 29th July 2019 05:37","https://sullygnome.com/channel/ditzu2174/stream/35082606176","488","7320","15","24","4","0","207","25","Heroes &amp; Generals"
"4","Friday 26th July 2019 05:39","https://sullygnome.com/channel/ditzu2174/stream/35047205648","441","5733","13","21","4","0","171","22","Heroes &amp; Generals"
"5","Thursday 25th July 2019 05:47","https://sullygnome.com/channel/ditzu2174/stream/35035219360","433","9093","21","34","5","0","178","23","Heroes &amp; Generals"
"6","Wednesday 24th July 2019 05:44","https://sullygnome.com/channel/ditzu2174/stream/35022978656","496","7936","16","29","2","0","184","21","Heroes &amp; Generals"
"7","Tuesday 23rd July 2019 05:43","https://sullygnome.com/channel/ditzu2174/stream/35010590224","482","9640","20","36","5","0","203","24","Heroes &amp; Generals"
"8","Wednesday 17th July 2019 05:58","https://sullygnome.com/channel/ditzu2174/stream/34935272912","407","8547","21","36","8","1","222","31","Apex Legends,Heroes &amp; Generals,Wolfenstein: The New Order"
"9","Tuesday 16th July 2019 05:26","https://sullygnome.com/channel/ditzu2174/stream/34922463888","439","9219","21","35","1","0","176","24","Heroes &amp; Generals"
"10","Monday 15th July 2019 10:49","https://sullygnome.com/channel/ditzu2174/stream/34911748416","191","1719","9","17","2","0","72","22","Heroes &amp; Generals"
"11","Friday 12th July 2019 05:31","https://sullygnome.com/channel/ditzu2174/stream/34872919696","374","4862","13","20","2","0","166","25","Heroes &amp; Generals"
"12","Thursday 11th July 2019 05:28","https://sullygnome.com/channel/ditzu2174/stream/34860438096","452","7232","16","24","4","0","150","20","Heroes &amp; Generals"
"13","Wednesday 10th July 2019 05:32","https://sullygnome.com/channel/ditzu2174/stream/34847978816","418","7524","18","29","4","0","190","27","Heroes &amp; Generals"
"14","Tuesday 9th July 2019 05:50","https://sullygnome.com/channel/ditzu2174/stream/34835503616","520","7280","14","26","3","0","179","21","Heroes &amp; Generals"
"15","Monday 8th July 2019 05:29","https://sullygnome.com/channel/ditzu2174/stream/34822915552","466","5592","12","22","6","0","183","22","Heroes &amp; Generals"
"16","Saturday 6th July 2019 08:54","https://sullygnome.com/channel/ditzu2174/stream/34799116912","246","3198","13","18","2","0","116","27","Heroes &amp; Generals"
"17","Friday 5th July 2019 05:29","https://sullygnome.com/channel/ditzu2174/stream/34785568848","376","4888","13","29","7","1","179","27","Minecraft,Heroes &amp; Generals"
"18","Thursday 4th July 2019 05:39","https://sullygnome.com/channel/ditzu2174/stream/34774108928","336","4032","12","22","5","0","138","25","Heroes &amp; Generals,Minecraft"
"19","Wednesday 3rd July 2019 05:59","https://sullygnome.com/channel/ditzu2174/stream/34761737744","406","7308","18","27","6","0","218","31","Heroes &amp; Generals"
"20","Tuesday 2nd July 2019 06:13","https://sullygnome.com/channel/ditzu2174/stream/34749184976","407","6105","15","29","3","0","187","27","Heroes &amp; Generals"
"21","Monday 1st July 2019 05:37","https://sullygnome.com/channel/ditzu2174/stream/34736854288","428","5564","13","17","3","0","121","16","Heroes &amp; Generals"
