"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","2235","35190","17","207","1972","52.939597"
"2","Counter-Strike: Global Offensive","1815","29580","15","50","944","31.206611"
"3","Teamfight Tactics","1335","21900","14","150","1354","60.853932"
"4","Tom Clancy's Rainbow Six Siege","555","4470","11","39","191","20.648648"
"5","Rocket League","210","1740","11","30","74","21.142857"
"6","Apex Legends","90","750","6","12","39","26"
"7","Tom Clancy's Rainbow Six","60","735","12","18","31","31"
"8","Siege","45","435","9","11","31","41.333333"
"9","Counter-Strike: Source","30","255","8","9","7","14"
"10","Splitgate","30","255","8","12","6","12"
"11","NHL 19","30","60","2","2","0","0"
