"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Deep Rock Galactic","2400","43965","17","35","970","24.25"
"2","Sea of Thieves","1500","30465","18","48","496","19.84"
"3","PUBG: BATTLEGROUNDS","1470","26565","16","31","460","18.77551"
"4","Overwatch","990","17325","16","38","261","15.818181"
"5","Hearthstone","765","12225","15","28","273","21.411764"
"6","The Witcher 3: Wild Hunt","570","7785","12","21","142","14.947368"
"7","Overcooked! 2","330","7290","20","31","126","22.90909"
"8","Broforce","255","3840","14","21","71","16.705882"
"9","Need for Speed: Undercover","120","1935","15","20","22","11"
"10","American Truck Simulator","105","2295","21","23","19","10.857142"
"11","Capcom Beat 'Em Up Bundle","75","855","11","16","22","17.6"
"12","Brütal Legend","60","1125","18","20","16","16"
"13","StarCraft","45","765","17","19","18","24"
"14","ROBLOX","30","480","16","18","25","50"
