"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","3000","18960","6","15","830","16.6"
"2","Teamfight Tactics","1590","10935","6","12","571","21.547169"
"3","Grand Theft Auto V","690","4560","5","24","207","18"
"4","Unlisted on Twitch","645","4575","6","13","328","30.511627"
"5","Last Day of June","135","825","7","9","14","6.222222"
"6","PUBG Mobile","120","855","7","10","42","21"
"7","PUBG: BATTLEGROUNDS","105","705","6","8","27","15.428571"
"8","Mobile Legends: Bang Bang","75","330","4","8","18","14.4"
"9","Dead by Daylight","60","270","4","6","24","24"
"10","Cities: Skylines","45","240","5","6","22","29.333333"
"11","Counter-Strike: Global Offensive","45","210","5","8","29","38.666666"
"12","Just Chatting","45","195","4","5","8","10.666666"
