"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rust","2220","8040","3","8","257","6.945945"
"2","Apex Legends","1980","7740","3","8","238","7.212121"
"3","Counter-Strike: Global Offensive","1785","5580","2","8","180","6.05042"
"4","Detroit: Become Human","375","1335","3","6","29","4.64"
"5","Call of Duty: Modern Warfare Remastered","315","975","2","5","42","8"
"6","Garry's Mod","210","930","4","7","14","4"
"7","Last Day of June","195","1125","5","7","5","1.538461"
"8","Minecraft","195","585","3","5","13","4"
"9","Shadow Tactics: Blades of the Shogun","105","285","2","3","3","1.714285"
"10","Just Chatting","90","300","3","4","5","3.333333"
"11","Fortnite","90","285","2","5","1","0.666666"
"12","Battalion 1944","75","240","3","4","8","6.4"
"13","Tom Clancy's Rainbow Six Siege","60","165","2","3","9","9"
"14","The Cycle","60","225","3","5","11","11"
