"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","X-Plane 11","1890","2370","1","3","114","3.619047"
"2","Warframe","540","2100","3","7","49","5.444444"
"3","Workers & Resources: Soviet Republic","450","795","1","3","41","5.466666"
"4","Dota Underlords","405","270","0","3","10","1.481481"
"5","Music","390","720","1","3","19","2.923076"
"6","Just Chatting","360","705","2","3","13","2.166666"
"7","Terraria","255","225","0","4","32","7.529411"
"8","Retro","165","225","1","2","12","4.363636"
"9","Unlisted on Twitch","165","270","2","3","14","5.090909"
"10","Sniper Elite 4","120","210","1","2","5","2.5"
"11","Factorio","90","180","2","2","4","2.666666"
"12","Moonlighter","90","270","3","3","0","0"
"13","Dead Island Definitive Collection","45","75","1","2","0","0"
"14","7 Days to Die","45","45","1","1","3","4"
"15","Guacamelee! Super Turbo Championship Edition","45","90","2","2","4","5.333333"
"16","Euro Truck Simulator 2","15","15","1","1","0","0"
