"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","1035","21375","19","31","345","20"
"2","Just Chatting","855","15450","15","30","578","40.561403"
"3","Visage","615","10890","16","29","260","25.365853"
"4","Deceit","570","12690","21","33","252","26.526315"
"5","Twitch Sings","420","6525","16","28","269","38.428571"
"6","Borderlands 2","270","5940","23","31","94","20.888888"
"7","The Forest","225","4905","20","29","155","41.333333"
"8","Rocket League","195","3810","18","24","74","22.76923"
"9","Marbles on Stream","120","2610","21","43","91","45.5"
"10","The Jackbox Party Pack 4","90","2520","28","32","72","48"
"11","Golf With Your Friends","60","915","15","17","3","3"
"12","PUBG: BATTLEGROUNDS","30","480","16","19","8","16"
"13","Unlisted on Twitch","30","900","30","31","13","26"
"14","The Stanley Parable Mod","30","540","18","18","20","40"
"15","Ultimate Chicken Horse","15","195","13","13","13","52"
