"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","435","4470","9","35","231","31.862068"
"2","Battlefield V","240","1590","6","8","32","8"
"3","VRChat","210","3165","14","24","83","23.714285"
"4","Don't Starve Together","210","1065","5","7","39","11.142857"
"5","Tom Clancy's Rainbow Six Siege","195","1155","6","16","27","8.307692"
"6","Minecraft","150","2040","13","18","82","32.8"
"7","Unlisted on Twitch","135","2295","17","70","126","56"
"8","Kartrider","135","930","6","10","26","11.555555"
"9","Hand Simulator","75","405","5","7","8","6.4"
"10","PUBG: BATTLEGROUNDS","60","180","3","6","18","18"
