"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","1485","12945","7","14","275","11.111111"
"2","Rust","1320","10320","7","15","135","6.136363"
"3","World of Warcraft","1020","7245","6","14","85","5"
"4","Dota 2","615","3225","4","10","64","6.243902"
"5","Squad","405","2985","6","12","58","8.592592"
"6","The Sims 4","285","2595","8","12","42","8.842105"
"7","Tom Clancy's Rainbow Six Siege","180","1155","7","9","13","4.333333"
"8","Dota Underlords","165","1440","8","13","18","6.545454"
"9","Age of Empires II","105","750","7","9","18","10.285714"
"10","Viscera Cleanup Detail","90","345","3","7","10","6.666666"
"11","Call of Duty: Black Ops 4","75","345","4","7","18","14.4"
"12","Retro","45","390","8","10","7","9.333333"
