"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 21st July 2019 05:04","https://sullygnome.com/channel/dartslivetaiwan/stream/34985959104","356","64792","182","351","40","6","2288","397","Talk Shows &amp; Podcasts"
"2","Monday 8th July 2019 12:04","https://sullygnome.com/channel/dartslivetaiwan/stream/34825041744","86","12814","149","167","2","1","525","350","Talk Shows &amp; Podcasts"
"3","Friday 5th July 2019 12:00","https://sullygnome.com/channel/dartslivetaiwan/stream/34787676112","75","5700","76","90","3","2","349","279","Just Chatting,Travel &amp; Outdoors"
