"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Legend of Zelda: Breath of the Wild","1245","22125","15","36","286","13.783132"
"2","Don't Starve","750","20010","22","37","501","40.08"
"3","Hearthstone","660","11670","16","52","248","22.545454"
"4","Stardew Valley","645","18525","27","47","249","23.16279"
"5","Resident Evil 6","525","13995","24","44","220","25.142857"
"6","Minecraft","510","7950","14","22","114","13.411764"
"7","Guacamelee! Gold Edition","465","9270","19","34","541","69.806451"
"8","One Finger Death Punch 2","315","9075","21","48","100","19.047619"
"9","Syberia 3","300","4800","15","23","93","18.6"
"10","Never Again","225","6720","25","64","142","37.866666"
"11","CLANNAD","195","4935","25","28","52","16"
"12","Don't Starve Together","180","2640","14","20","65","21.666666"
"13","A Boy and His Blob: Trouble on Blobolonia","135","3795","28","31","30","13.333333"
"14","Makers & Crafting","120","4065","27","63","375","187.5"
"15","Music","60","1530","25","28","200","200"
"16","The Hat Man: Shadow Ward","45","1425","31","32","13","17.333333"
