"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 01:07","https://sullygnome.com/channel/rw_grim/stream/35092693824","188","5076","27","37","1","0","98","30","Science &amp; Technology"
"2","Friday 26th July 2019 01:10","https://sullygnome.com/channel/rw_grim/stream/35044888016","170","5270","31","42","2","0","117","42","Science &amp; Technology"
"3","Tuesday 23rd July 2019 18:27","https://sullygnome.com/channel/rw_grim/stream/35016140016","228","7068","31","59","9","2","199","49","Science &amp; Technology"
"4","Tuesday 23rd July 2019 01:05","https://sullygnome.com/channel/rw_grim/stream/35008168672","190","5890","31","44","10","3","169","52","Science &amp; Technology"
"5","Friday 19th July 2019 03:07","https://sullygnome.com/channel/rw_grim/stream/34959043616","338","11492","34","46","11","2","274","49","Science &amp; Technology"
"6","Friday 19th July 2019 01:22","https://sullygnome.com/channel/rw_grim/stream/34957967280","98","3136","32","44","4","2","123","70","Science &amp; Technology"
"7","Wednesday 17th July 2019 00:58","https://sullygnome.com/channel/rw_grim/stream/34932653200","227","7491","33","62","7","1","186","46","Science &amp; Technology"
"8","Tuesday 16th July 2019 01:39","https://sullygnome.com/channel/rw_grim/stream/34920535152","171","7695","45","51","6","2","151","50","Science &amp; Technology"
"9","Monday 15th July 2019 17:54","https://sullygnome.com/channel/rw_grim/stream/34915324720","201","6834","34","44","10","2","177","50","Science &amp; Technology"
"10","Friday 12th July 2019 01:15","https://sullygnome.com/channel/rw_grim/stream/34870644352","195","4290","22","38","6","1","117","33","Science &amp; Technology"
"11","Wednesday 10th July 2019 00:58","https://sullygnome.com/channel/rw_grim/stream/34845507392","197","5713","29","39","4","1","102","31","Science &amp; Technology"
"12","Friday 5th July 2019 01:00","https://sullygnome.com/channel/rw_grim/stream/34783577696","195","4875","25","38","1","0","105","32","Science &amp; Technology"
"13","Wednesday 3rd July 2019 01:06","https://sullygnome.com/channel/rw_grim/stream/34759222672","159","3816","24","41","3","1","91","33","Science &amp; Technology"
"14","Tuesday 2nd July 2019 05:24","https://sullygnome.com/channel/rw_grim/stream/34748908480","201","1608","8","11","1","0","27","7","Super Mario Maker 2,TETRIS 99,Science &amp; Technology"
"15","Tuesday 2nd July 2019 00:56","https://sullygnome.com/channel/rw_grim/stream/34746575328","199","4975","25","40","3","0","113","34","Science &amp; Technology"
