"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Call of Duty: Black Ops 4","1710","7320","3","10","141","4.947368"
"2","Rocket League","885","4035","4","8","97","6.576271"
"3","Infliction","225","1080","4","7","31","8.266666"
"4","Ori and the Blind Forest","195","555","2","5","14","4.307692"
"5","Minion Masters","150","1230","8","10","19","7.6"
"6","Life is Strange 2","150","405","2","5","21","8.4"
"7","Ben and Ed: Blood Party","135","705","5","6","7","3.111111"
"8","PUBG: BATTLEGROUNDS","135","540","4","6","34","15.111111"
"9","Dead by Daylight","90","195","2","3","3","2"
"10","Beat Saber","90","405","4","6","16","10.666666"
"11","Observer","75","225","3","5","6","4.8"
"12","Split/Second","60","150","2","4","5","5"
