"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Hell Let Loose","360","2475","5","18","95","15.833333"
"2","Anthem","255","2400","9","14","104","24.470588"
"3","Resident Evil 2","210","1230","5","10","48","13.714285"
"4","Wolfenstein: Youngblood","135","525","3","6","17","7.555555"
"5","ARK: Survival Evolved","90","615","6","8","7","4.666666"
"6","Apex Legends","75","315","4","8","3","2.4"
"7","Fortnite","45","270","6","8","7","9.333333"
"8","Counter-Strike","30","60","2","2","5","10"
"9","Hunt: Showdown","15","75","5","5","9","36"
"10","Ring of Elysium","15","30","2","2","5","20"
