"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","3105","21180","7","23","380","7.342995"
"2","Just Chatting","510","6780","13","22","120","14.117647"
"3","Gears 5","120","420","3","6","21","10.5"
