"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","2085","9720","3","8","189","5.438848"
"2","8-Bit Armies","1920","8250","4","8","114","3.5625"
"3","NBA 2K18","630","3615","4","13","46","4.380952"
"4","Detroit: Become Human","450","1800","3","8","31","4.133333"
"5","Prison Architect","150","645","4","6","15","6"
"6","World of Warships: Legends","120","375","2","5","2","1"
"7","NHL 19","105","360","3","5","4","2.285714"
"8","MLB The Show 19","105","450","4","6","5","2.857142"
"9","Subnautica","45","165","3","4","6","8"
"10","Grand Theft Auto V","30","135","4","5","3","6"
