"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","4845","40230","6","31","1007","12.470588"
"2","The Forest","1080","6345","5","15","194","10.777777"
"3","Minecraft","300","1575","4","9","71","14.2"
"4","Conan Exiles","195","1155","5","11","30","9.230769"
"5","Resident Evil 7: Biohazard","165","1245","7","11","51","18.545454"
"6","Beat Saber","135","690","4","9","113","50.222222"
"7","World of Warcraft","45","285","6","7","15","20"
"8","VR_PlayRoom","45","420","9","10","20","26.666666"
"9","Unlisted on Twitch","30","210","7","7","5","10"
"10","Just Chatting","30","165","5","6","15","30"
"11","VRChat","15","135","9","9","20","80"
