"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Satisfactory","3345","30165","7","31","814","14.600896"
"2","Apex Legends","2220","14250","5","13","616","16.648648"
"3","Magic: The Gathering","2085","29385","9","79","883","25.410071"
"4","Oxygen Not Included","1125","12315","9","19","273","14.56"
"5","They Are Billions","885","5895","6","13","166","11.254237"
"6","Moonlighter","330","1725","6","8","69","12.545454"
"7","osu!","240","1725","6","11","47","11.75"
"8","Games + Demos","150","960","6","10","38","15.2"
"9","Atma","75","795","10","15","47","37.6"
"10","SolSeraph","75","270","3","6","15","12"
"11","Enter the Gungeon","75","285","3","5","11","8.8"
"12","Just Chatting","45","375","9","11","23","30.666666"
