"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","3615","1429710","438","1333","43505","722.074688"
"2","Heroes of Might and Magic III: The Shadow of Death","1845","2632485","1104","4294","62963","2047.577235"
"3","The Witcher 3: Wild Hunt","1410","534510","365","687","28353","1206.510638"
"4","Apex Legends","1125","431040","288","891","46736","2492.586666"
"5","World of Warcraft","720","235470","261","485","9789","815.75"
"6","Dota 2","720","44265","63","105","8909","742.416666"
"7","League of Legends","510","238275","475","799","10773","1267.411764"
"8","Tom Clancy's Rainbow Six Siege","435","65760","150","198","5935","818.620689"
"9","Dota Underlords","420","111690","169","570","4135","590.714285"
"10","Fortnite","390","192615","493","1012","25276","3888.615384"
"11","My Summer Car","375","229575","603","1164","7218","1154.88"
"12","The Witcher 2: Assassins of Kings","375","88980","217","298","3125","500"
"13","Makers & Crafting","315","27915","175","385","5157","982.285714"
"14","Rust","285","206880","635","981","7968","1677.473684"
"15","Space Engineers","240","45255","188","225","2763","690.75"
"16","SOMA","195","58230","298","363","1957","602.153846"
"17","Penumbra: Black Plague","180","58545","325","398","1935","645"
"18","Cooking Simulator","180","37320","207","233","1908","636"
"19","Kôna","180","61410","341","433","2694","898"
"20","PUBG: BATTLEGROUNDS","135","84645","621","698","4193","1863.555555"
"21","Just Chatting","105","74505","966","1900","7079","4045.142857"
"22","Satisfactory","105","60525","576","592","1140","651.428571"
"23","Wolfenstein: Youngblood","90","102285","1136","1390","9214","6142.666666"
"24","Conqueror's Blade","75","12375","165","174","715","572"
"25","Worms W.M.D","75","140010","1866","2104","12528","10022.4"
"26","Portal 2","75","30225","403","417","1934","1547.2"
"27","Kubifaktorium","45","8130","180","190","317","422.666666"
"28","Battlefield V","30","42585","1419","1420","1199","2398"
"29","Dishonored: Death of the Outsider","30","16140","538","542","575","1150"
"30","Dead by Daylight","30","44010","1467","1476","1199","2398"
"31","RAGE 2","15","8475","565","565","575","2300"
"32","KovaaK's Aim Trainer","15","930","62","62","239","956"
