"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rust","2295","28230","11","30","609","15.921568"
"2","Cuphead","375","14445","34","83","391","62.56"
"3","Visage","225","2715","10","17","69","18.4"
"4","DOOM","165","2730","19","30","87","31.636363"
"5","Bloodstained: Ritual of the Night","90","1215","13","26","33","22"
"6","Wolfenstein: The New Order","90","975","10","18","36","24"
"7","Retro","75","780","10","12","27","21.6"
"8","Art","75","1275","17","23","32","25.6"
"9","Wolfenstein II: The New Colossus","45","720","16","17","15","20"
"10","Unlisted on Twitch","30","330","11","11","14","28"
"11","skribbl.io","30","450","15","16","35","70"
