"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Old School RuneScape","1230","10380","7","30","250","12.195121"
"2","Jump King","900","10230","11","19","187","12.466666"
"3","Minecraft","885","5955","6","12","120","8.135593"
"4","Just Chatting","225","1830","6","13","97","25.866666"
"5","FTL: Faster Than Light","120","810","6","7","26","13"
"6","ROBLOX","105","915","8","12","34","19.428571"
"7","Marbles on Stream","75","795","10","14","16","12.8"
"8","Emily is Away","60","420","7","8","9","9"
"9","The Jackbox Party Pack 2","30","375","12","13","4","8"
"10","The Jackbox Party Pack 5","30","360","12","13","4","8"
"11","Jackbox Party Packs","15","210","14","14","0","0"
