"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","4965","8503980","1653","5307","251125","3034.743202"
"2","Just Chatting","3855","5360610","1216","6278","137927","2146.723735"
"3","Rust","525","377850","907","1660","14923","1705.485714"
"4","Games + Demos","285","383535","1345","1784","8754","1842.947368"
"5","GetAmped","165","215190","1304","1479","3883","1412"
"6","MapleStory","120","180330","1502","1709","4046","2023"
"7","Teamfight Tactics","90","78600","873","1029","1062","708"
"8","Conqueror's Blade","75","57690","769","990","1436","1148.8"
"9","Music","75","62655","835","878","2299","1839.2"
"10","StarCraft II","15","28800","1920","1920","741","2964"
