"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Star Wars: Knights of the Old Republic","1125","1977855","1751","2923","24527","1308.106666"
"2","Arma 3","990","1867650","1904","2360","21283","1289.878787"
"3","The Sinking City","780","1324005","1681","2608","16116","1239.692307"
"4","Outer Wilds","630","1011900","1568","2506","12749","1214.190476"
"5","Pokémon Black/White Version 2","465","815040","1752","2040","10202","1316.387096"
"6","Pokémon Emerald","375","973665","2596","3295","15048","2407.68"
"7","The Hex","315","624495","1982","2458","6598","1256.761904"
"8","Arizona Sunshine","285","655095","2298","2784","6685","1407.368421"
"9","Wolfenstein: Youngblood","285","675150","2368","3128","8017","1687.789473"
"10","Pokémon Platinum","285","689985","2421","2883","7122","1499.368421"
"11","Grand Theft Auto V","270","381210","1411","2621","6335","1407.777777"
"12","PULSAR: Lost Colony","255","569625","2233","2586","6806","1601.411764"
"13","DayZ","255","428955","1682","1939","6394","1504.470588"
"14","Minecraft","225","469635","2087","2248","13310","3549.333333"
"15","Dauntless","225","285855","1308","1467","4538","1210.133333"
"16","Earth Defense Force 4.1: The Shadow of New Despair","210","400080","1905","2121","5318","1519.428571"
"17","Oxygen Not Included","135","228075","1689","2145","4781","2124.888888"
"18","Project Winter","135","444570","3293","3456","5626","2500.444444"
"19","Just Chatting","135","300345","1628","3082","13070","5808.888888"
