"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Under Night In-Birth Exe:Late[st]","2445","36960","11","85","966","23.705521"
"2","Super Metroid","435","1305","2","5","18","2.482758"
"3","FINAL FANTASY V","420","1260","3","6","19","2.714285"
"4","Tekken 7","390","1380","3","5","40","6.153846"
"5","SAMURAI SHODOWN","225","3045","13","22","47","12.533333"
"6","BlazBlue: Cross Tag Battle","120","510","4","8","21","10.5"
"7","Persona 4 Arena Ultimax","105","750","7","10","13","7.428571"
"8","Million Arthur: Arcana Blood","90","690","7","13","68","45.333333"
"9","Slap City","90","375","4","7","75","50"
"10","BlazBlue: Central Fiction","75","165","2","3","8","6.4"
