"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 16:41","https://sullygnome.com/channel/oh_bother/stream/35099524368","394","18912","48","76","3","0","297","44","Science &amp; Technology"
"2","Friday 26th July 2019 16:33","https://sullygnome.com/channel/oh_bother/stream/35051384272","327","18639","57","89","7","1","264","45","Science &amp; Technology"
"3","Thursday 25th July 2019 16:36","https://sullygnome.com/channel/oh_bother/stream/35039341328","309","14523","47","61","7","1","203","42","Science &amp; Technology"
"4","Tuesday 23rd July 2019 16:34","https://sullygnome.com/channel/oh_bother/stream/35014863936","221","9503","43","57","0","0","167","44","Science &amp; Technology"
"5","Friday 19th July 2019 16:38","https://sullygnome.com/channel/oh_bother/stream/34964583152","262","17292","66","99","12","2","260","57","Science &amp; Technology"
"6","Thursday 18th July 2019 16:28","https://sullygnome.com/channel/oh_bother/stream/34952028896","362","15566","43","69","7","1","239","38","Science &amp; Technology"
"7","Tuesday 16th July 2019 16:37","https://sullygnome.com/channel/oh_bother/stream/34926921456","413","18998","46","61","16","2","347","49","Science &amp; Technology"
"8","Friday 12th July 2019 16:37","https://sullygnome.com/channel/oh_bother/stream/34877332912","383","24895","65","99","18","2","351","54","Science &amp; Technology"
"9","Thursday 11th July 2019 16:31","https://sullygnome.com/channel/oh_bother/stream/34864778032","344","18576","54","111","21","3","355","61","Science &amp; Technology"
"10","Friday 5th July 2019 16:36","https://sullygnome.com/channel/oh_bother/stream/34789934960","309","17613","57","94","9","1","206","39","Science &amp; Technology"
"11","Thursday 4th July 2019 16:38","https://sullygnome.com/channel/oh_bother/stream/34778528272","367","14680","40","59","3","0","192","30","Science &amp; Technology"
"12","Tuesday 2nd July 2019 16:30","https://sullygnome.com/channel/oh_bother/stream/34753253136","270","12690","47","57","-2","0","143","31","Science &amp; Technology"
